,Username,Caption,Hastag,Likes,Comments
10,cindihouw_,"* Announcement * 
Presiden Calculus mengajak seluruh pemuda-pemudi negerinya untuk segera mendaftarkan tim terbaik yang kalian miliki untuk bergabung dan bersaing di : *CALCULUS CUP XI UNJ* *CALCULUS LEAGUE*  Apa aja sih yang ada di Calculus Cup itu?? Kompetisi Calculus
Syarat menjadi peserta :
http://Bit.ly/SyaratPendaftaranCCXI
Babak Penyisihan :
7 September 2019
Di masing-masing Regional
Semifinal :
22 September 2019
Kampus A Universitas Negeri Jakarta
Final
22 September 2019
Aula lantai 9 Gedung Ki Hajar Dewantara, Universitas Negeri Jakarta Pendaftaran
HTM : Rp 325.000,00 per tim
Hadiah
Juara 1 : Rp.5.000.000,00 + trophy + sertifikat
Juara 2 : Rp.3.000.000,00 + trophy + sertifikat
Juara 3 : Rp.2.000.000,00 + trophy + sertifikat

Waahhh!!! 
Menarik banget kan?  So, tunggu apalagi!!
Buruan daftar di 
Isi link pendaftaran kompetisi kalkulus :
http://bit.ly/kompetisiCCXIUNJ

For more information, you can ask them :
 Adam : 085717077010
 Amanda : 085695067732 
 Twitter: bit.ly/TwitterCalcup
 FB: bit.ly/FacebookCalcup
 IG: bit.ly/InstagramCalcup
 Line: bit.ly/LineCalcup
 #CalculusCupXIUNJ
#CalculusLeague
*  XI*","['calculuscupxiunj', 'calculusleague']",18,[]
11,cindihouw_,"[[ OPEN PAID PROMOTE CALCULUS CUP XI ]]  Lagi ngadain acara? Butuh HT biar komunikasi lancar? Solusinya ya cuma satu, ke cirapsewa aja! Menyewakan HT untuk keperluan acara kampus, sekolah dll. .
Kelebihannya apa aja kak?
1. HT berkualitas dan dijamin aman 
2. Biayanya murah, pas dikantong mahasiswa 
3. Waktu peminjaman yang fleksibel 
4. Adminnya ramah dan InsyaAllah fast respon 
.
Wajib banget kan buat nyewa di @cirapsewa ? Harga murah cuma 20K per HT dan +5K untuk tambahan headsetnya 
.
Langsung aja order di:
IG: @cirapsewa
WA: 087709997686 (Iqbal)

Solusi sewa murah? Yaa cirapsewa aja  #htbekasi #sewahtbekasi #sewahtjakarta #htjakartatimur #sewahtkampus #htberkualitas
#sewahtberkualitas
#sewaHT #calculuscup #paidpromote #paidpromotemurah #paidpromotejakarta #paidpromoteolshop
#paidpromote2019
#paidpromoteindo
#jasapaidpromote #PPCALC9","['htbekasi', 'sewahtbekasi', 'sewahtjakarta', 'htjakartatimur', 'sewahtkampus', 'htberkualitas', 'sewahtberkualitas', 'sewaht', 'calculuscup', 'paidpromote', 'paidpromotemurah', 'paidpromotejakarta', 'paidpromoteolshop', 'paidpromote2019', 'paidpromoteindo', 'jasapaidpromote', 'ppcalc9']",38,[]
12,cindihouw_,"[[ OPEN PAID PROMOTE CALCULUS CUP XI ]]  AUCTION TIME
 AUCTION TIME  AUCTION TIME 
@auctionboskuu
@auctionboskuu
@auctionboskuu
.
 AUCTION TIME 
.
HALO BOSKUU SEMUAAA...
.
KEUGGULAN TITIP LELANG DI KITA
.
 BUAT SELLER 
.
 ADMIN FAST RESPON 
 GAMPANG TITIP LELANGNYA 
 KAMI AMANAH MENJADI REKBER 
 EASY CUAN 
 KAMI MENERIMA SEGALA MACAM BARANG 
 TANPA POTONGAN BIAYAAAAAA 
.
 BUAT BUYER 
.
 ADMIN FAST RESPON 
 EASY WIN. ISI FORMAT TF DONE 
 KAMI AMANAH MENJADI REKBER 
 EASY CUAN 
 PRODUK YANG DI AMBIL JAMINAN AMAN 
 MURAH BUKAN BERARTI MURAHAN 
.
#lelang #auctionboskuu #jualstussy #jualbape #jualonline #jualtommyhilfiger #jualvans #jualuniqlo #jualhnm #jualzara #jualdw #jualgshock #jualadidas #jualnike #jualsepatu #ngakak #lucu #jualbaju #jualhoodie #jualcompass #jualassc #jualcdg #juallacoste #jualfredperry #jualmurah #jualjam #jualtopi #jualcelana #jualjbl #PPCALC8","['lelang', 'auctionboskuu', 'jualstussy', 'jualbape', 'jualonline', 'jualtommyhilfiger', 'jualvans', 'jualuniqlo', 'jualhnm', 'jualzara', 'jualdw', 'jualgshock', 'jualadidas', 'jualnike', 'jualsepatu', 'ngakak', 'lucu', 'jualbaju', 'jualhoodie', 'jualcompass', 'jualassc', 'jualcdg', 'juallacoste', 'jualfredperry', 'jualmurah', 'jualjam', 'jualtopi', 'jualcelana', 'jualjbl', 'ppcalc8']",15,[]
13,cindihouw_,"[[ OPEN PAID PROMOTE CALCULUS CUP XI ]]  FLASH SALE FORLYFE,
FREE ONGKIR IS A MUST!

Gak usah bingung cari Suplier skincare korea yang harganya MAHASISWA BANGETTTT!

Kamu bisa cek 
@naturerepublicmalang.id
@naturerepublicmalang.id
@naturerepublicmalang.id

Apalagi sekarang lagi ada FLASH SALE LHOO!
Makin murah SORO!

Jangan sampe kelewatan sale nya, karna cuma beberapa hari aja loh 

#naturerepublicmalang #naturerepublicmurah #naturerepublicsurabaya #snailtruecicamurah #scarlettmalang #scarlettmurah #scarlettoriginal #calculuscup #paidpromote #paidpromotemurah #paidpromotejakarta #paidpromoteolshop
#paidpromote2019
#paidpromoteindo
#jasapaidpromote #PPCALC7","['naturerepublicmalang', 'naturerepublicmurah', 'naturerepublicsurabaya', 'snailtruecicamurah', 'scarlettmalang', 'scarlettmurah', 'scarlettoriginal', 'calculuscup', 'paidpromote', 'paidpromotemurah', 'paidpromotejakarta', 'paidpromoteolshop', 'paidpromote2019', 'paidpromoteindo', 'jasapaidpromote', 'ppcalc7']",17,[]
14,cindihouw_,"[[ OPEN PAID PROMOTE CALCULUS CUP XI ]]  Haii queene lagi bingung cari buket buat wisuda, mau cari buket tp kemahalan? Mau bikin sendiri tp ribet ga ada waktu? kuy order di @queenequeshop dijamin murah dan bisa request sesuai keinginan  start from 35k
 order H-1
 bisa request sesuai keinginan
Jakarta timur,  matraman bisa cod,  jne  dan gojek  Terima jasa pembuatan buket snack dan bunga (bisa request semua permintaan)  pemrosesan h -1
 harga disesuaikan dengan budget
 bisa cod,  jne dan gojek

Minat? 
Order :
Line ; @cbh5145p
WA : 089529209149
Happy shopping queene

#bouqetsnack #bouqetsnackmurah #bouqetsnackjakarta #bouqetsnackjogja #bouqetsnackmalang #bouqetsnackbandung #bouqetsnackmedan #bouqetsnackjaktim #bouqetsnackmurahbanget #snackbouqet #snackbouqetmurah #snackbouqetjakarta #buketsnack #buketsnackjogja #buketsnackjakarta #buketsnackmurah #buketsnackunik #buketsnackst #buketmurah #buketsnackmurah #calculuscup #paidpromote #paidpromotemurah #paidpromotejakarta #paidpromoteolshop
#paidpromote2019
#paidpromoteindo
#jasapaidpromote #PPCALC6","['bouqetsnack', 'bouqetsnackmurah', 'bouqetsnackjakarta', 'bouqetsnackjogja', 'bouqetsnackmalang', 'bouqetsnackbandung', 'bouqetsnackmedan', 'bouqetsnackjaktim', 'bouqetsnackmurahbanget', 'snackbouqet', 'snackbouqetmurah', 'snackbouqetjakarta', 'buketsnack', 'buketsnackjogja', 'buketsnackjakarta', 'buketsnackmurah', 'buketsnackunik', 'buketsnackst', 'buketmurah', 'buketsnackmurah', 'calculuscup', 'paidpromote', 'paidpromotemurah', 'paidpromotejakarta', 'paidpromoteolshop', 'paidpromote2019', 'paidpromoteindo', 'jasapaidpromote', 'ppcalc6']",17,[]
15,cindihouw_,"[[ OPEN PAID PROMOTE CALCULUS CUP XI ]]  Banyak banget yang nanyain kak kapan ada promo gila?  kak original ga? 
Hai sahabat vintegh, kita lagi ada diskon dan promo untuk all type jam ORIGINAL, takut ga original?  jangan takut kita bisa COD langsung untuk lebih meastikan kualitas barang , dan jangan bingung untuk cari jam murah dengan kualitas 10000% original dan bergaransi resmi, dijamin harga kita lebih murah dibandingkan di toko sebelah
untuk kado ultah, kado gebetan,  kado orang tua,  kado pacar dan kado buat MANTAN, apalagj untuk kado anniversarry  sama doi kak dan buat memperkeren kalian untuk kuliah atau kerja loh.. jangan ragu check instagram kita ya kak, dan monggo ditanya-tanya karena banyak harga yg promo!! Harga Retail belum didiskon dari kita ya kak Noted: Tidak ori?  Duit kembali 100%
#jamtanganoriginal #jamtanganmurah #jamtangancouple #jamtangandw #jamtanganfossil #jamtangankeren
#jammahasiswa #calculuscup #paidpromote #paidpromotemurah #paidpromotejakarta #paidpromoteolshop
#paidpromote2019
#paidpromoteindo
#jasapaidpromote #PPCALC5","['jamtanganoriginal', 'jamtanganmurah', 'jamtangancouple', 'jamtangandw', 'jamtanganfossil', 'jamtangankeren', 'jammahasiswa', 'calculuscup', 'paidpromote', 'paidpromotemurah', 'paidpromotejakarta', 'paidpromoteolshop', 'paidpromote2019', 'paidpromoteindo', 'jasapaidpromote', 'ppcalc5']",19,[]
16,cindihouw_,"[[ OPEN PAID PROMOTE CALCULUS CUP XI ]]  Mau cari perlengkapan winter dan Travelling di@rajawintergroup aja. Kenapa? Karena
1. Produk ready stock & barang OK punya.
2. Restock every 3-5 days
3. Admin fast respon di jam 09:00 -17:00 ( tetap bisa order dalam 24 jam )
4. Tidak PO
5. Banyak Promonya

Saat ini Group Raja Winter lagi ada Double Promo Agustus 2019
Syarat & Ketentuan :

1. Wajib Follow Instagram @rajawinter & Like Postingan Ini.

2. Gratis Ongkir hingga 15rb per alamat setiap belanja minimal 2pcs dan dalam orderan terdapat produk yang sedang dalam masa promo, jika dalam orderan tidak terdapat produk yang sedang dalam masa promo maka biaya Ongkir Normal.

3. Jika ongkir membutuhkan biaya lebih dari 15rb, maka pembeli akan menanggung sisa dari biaya ongkirnya.

4. Double Promo berlaku hanya sampai tanggal 4 Agustus 2019, lewat dari tanggal 4 Agustus 2019 hanya berlaku promo Buy 1 Get 1 Free.

5. Double Promo ini berlaku hanya pemesanan melalui Whatsapp / Line

Tanya / Info
Lihat Bio Instagram@rajawinter
1. Whatsapp 0819.0677.1273
2. Line@rajawinter(pakai @) Produk :
1. Aneka kaos kaki winter
2. Aneka longjohn winter
3. Aneka coat dan jeket winter
4. Aneka aksesoris winter
5. Aneka boots winter
6. Aneka penutup kepala winter
7. Aneka penutup mulut dan telinga
8. Aneka sarung tangan winter
9. Aneka sarung tangan touchscreen
10. Dan masih banyak lagi

Pengiriman
JNE / SICEPAT / Gojek

Instagram group
@rajawinter
@farawinter 
@mallwinter

#perlengkapanmusimdingin #jualperlengkapanmusimdingin #perlengkapanwinter #promo #perlengkapantravelling #perlengkapanumroh #perlengkapanhaji #sarungtanganwinter #coatwinter #jaketwinter #musimdingin #topiwinter #bootswinter #perlengkapanmusimdinginanak #perlengkapanhiking #perlengkapannaikgunung #coatanak #coatkorea #sweaterbandung #produkwinter #bajuwinter 
#calculuscup #paidpromote #paidpromotemurah #paidpromotejakarta #paidpromoteolshop
#jasapaidpromote #PPCALC4","['perlengkapanmusimdingin', 'jualperlengkapanmusimdingin', 'perlengkapanwinter', 'promo', 'perlengkapantravelling', 'perlengkapanumroh', 'perlengkapanhaji', 'sarungtanganwinter', 'coatwinter', 'jaketwinter', 'musimdingin', 'topiwinter', 'bootswinter', 'perlengkapanmusimdinginanak', 'perlengkapanhiking', 'perlengkapannaikgunung', 'coatanak', 'coatkorea', 'sweaterbandung', 'produkwinter', 'bajuwinter', 'calculuscup', 'paidpromote', 'paidpromotemurah', 'paidpromotejakarta', 'paidpromoteolshop', 'jasapaidpromote', 'ppcalc4']",16,[]
17,cindihouw_,"[[ OPEN PAID PROMOTE CALCULUS CUP XI ]] 
.
Hai sahabat Instagram, hari gini followers/likes masih dikit? , buruan cekidot Instagram nya @brothermedia.promoday disana tempat jasa sosial media terbaik, ada jasaa followers,likes,views,subcriber, dan masih banyak lagi lainnya. Harganya pun murah meriah, prosesnya cepat , dan juga BERGARANSI , Adminnya juga fast respon dijamin gak bakal nyesel dah.

Mau tanya""/langsung order? hubungi kontak dibawah ini:
WhatsApp: 0877-6009-7899 (FAST RESPON)
Line: @bki4466p ( depannya pake @ )
.
.
#endorsemurah #followersaktif #followersindonesia #followersgratis #followersinstagram #selebgram #selebgramindonesia #selebgramhijab #remajahits #olshopmurah #olshop #olshopbandung #olshopmedan #jakarta #bandung #tangerang #depok #bogor #bekasi #paidpromote #calculuscup #paidpromotemurah #paidpromotejakarta #paidpromoteolshop
#paidpromote2019
#jasapaidpromote #PPCALC3","['endorsemurah', 'followersaktif', 'followersindonesia', 'followersgratis', 'followersinstagram', 'selebgram', 'selebgramindonesia', 'selebgramhijab', 'remajahits', 'olshopmurah', 'olshop', 'olshopbandung', 'olshopmedan', 'jakarta', 'bandung', 'tangerang', 'depok', 'bogor', 'bekasi', 'paidpromote', 'calculuscup', 'paidpromotemurah', 'paidpromotejakarta', 'paidpromoteolshop', 'paidpromote2019', 'jasapaidpromote', 'ppcalc3']",24,[]
18,cindihouw_,"[[ OPEN PAID PROMOTE CALCULUS CUP XI ]] 
Pingin nambah followers tapi bingung dimana?
__
Kami menyediakan berbagai jenis kebutuhan sosial media. Mulai dari followers,like,komen, dll.
.
 Hanya butuh username
proses Instan
 order via BCA, Pulsa (+5k)
So tunggu apalagi?
Yuk buruan order.
Wa : 0812 5320 1568
Line : @ssk8099o ( pakai @) #dagelan#bikinrame#kuliner#kulinerindonesia#masakanindonesia#paidpromotebali#pilpres2019#kuliner#selebgram#artisindonesia
#paidpromoteindo #paidpromoteolshop
#paidpromotemurah #calculuscup #paidpromote #paidpromotejakarta #paidpromoteolshop
#paidpromote2019
#paidpromoteindo
#jasapaidpromote #PPCALC2","['dagelan', 'bikinrame', 'kuliner', 'kulinerindonesia', 'masakanindonesia', 'paidpromotebali', 'pilpres2019', 'kuliner', 'selebgram', 'artisindonesia', 'paidpromoteindo', 'paidpromoteolshop', 'paidpromotemurah', 'calculuscup', 'paidpromote', 'paidpromotejakarta', 'paidpromoteolshop', 'paidpromote2019', 'paidpromoteindo', 'jasapaidpromote', 'ppcalc2']",23,[]
19,cindihouw_,"[[ OPEN PAID PROMOTE CALCULUS CUP XI ]]  @CONYLINE_APP @CONYLINE_APP , APPLIKASI BEST SELLER UNTUK ANDROID DAN IOS! 
.
 SPOTIFY PREMIUM LIFETIME RP 20.000 .
 LIGHTROOM FULLPACK ANDRO 15.000.
 JOOX VIP LIFETIME RP 10.000 .
 LINE PREMIUM ANDROID RP 10.000 .
 UNFOLD FULLPACK RP 10.000 .
 INSTAGRAM PREMIUM RP 10.000 .
 VSCO X ANDROID RP 10.000 .
 INSHOT FULLPACK ANDROID 15.000 .
 VSCO FULL PACK RP 5.000 .
 AFTERLIGHT FULL PACK RP 10.000 .
 PICSART FULL PACK RP 10.000 .
DLL!!! .
.
IG : @CONYLINE_APP
LINE ID : @zvk8158d .
WA : 0899.789.1236 .
.
#PPCONYCALC1 #calculuscup #paidpromote #paidpromotemurah #paidpromotejakarta #paidpromoteolshop
#paidpromote2019
#paidpromoteindo
#jasapaidpromote","['ppconycalc1', 'calculuscup', 'paidpromote', 'paidpromotemurah', 'paidpromotejakarta', 'paidpromoteolshop', 'paidpromote2019', 'paidpromoteindo', 'jasapaidpromote']",22,[]
20,cindihouw_,"[[ OPEN PAID PROMOTE CALCULUS CUP XI ]] Hey peeps !!
Mau bisnis kamu semakin eksis tapi bingung mau promosiin ke mana?
Belum lagi harganya mahal ??
Ini dia solusinya!! Kami selaku panitia dari CALCULUS CUP XI membuka paid promote harga terjangkau dengan
80+ akun aktif
45k+ followers aktif Dengan daftar paketan sbb  Paket Diferensial
 1x post (maks 1 foto)
 1x story
 keep 1 hari
15k Paket Median
1x post (maks 1 foto)
2x story
keep 3 hari
25k Paket Integral
2x post (maks 3 foto)
2x story
keep 5 hari
45 k Paket Sigma
1x post (maks 5 foto)
2x story
1x video story
keep 5 hari
55k Paket ter-Pisah
1x Story
10k
1x Video Story
15k

So, tunggu apalagi ?
Segera hubungi
Nabilah 
Line : nabilahazzh
Wa : 085795591471
Ramiz 
Line : fachryalreal_7
Wa : 082113143114

#calculuscup #paidpromote #paidpromotemurah #paidpromotejakarta
#paidpromoteolshop
#paidpromote2019
#paidpromoteindo
#jasapaidpromote","['calculuscup', 'paidpromote', 'paidpromotemurah', 'paidpromotejakarta', 'paidpromoteolshop', 'paidpromote2019', 'paidpromoteindo', 'jasapaidpromote']",46,[]
